phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
1160	Sleep duration	ordinal	phesant	359020	2174	NA	NA	1160_0|| INTEGER || reassignments: -1=NA|-3=NA || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <7, 1: [7,8), 2: >=8 ||cat N: 85573, 140679, 132768 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	ACE touchscreen question "About how many hours sleep do you get in every 24 hours? (please include naps)" The following checks were performed: If answer If answer > 23 then rejected If answer If answer > 12 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend sleeping varies a lot, give the average time for a 24 hour day in the last 4 weeks. 
1200	Sleeplessness / insomnia	ordinal	phesant	360738	456	NA	NA	1200_0|| CAT-SINGLE || Inc(>=10): 3(102157) || Inc(>=10): 2(172000) || Inc(>=10): 1(86581) || ordered || CAT-ORD || order: 1|2|3 || num categories: 3 ||	ACE touchscreen question "Do you have trouble falling asleep at night or do you wake up in the middle of the night?" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks. 
1220	Daytime dozing / sleeping (narcolepsy)	ordinal	phesant	359752	1442	NA	NA	1220_0|| CAT-SINGLE || reassignments: 3=2 || Inc(>=10): 0(276988) || Inc(>=10): 1(73375) || Inc(>=10): 2(9389) || ordered || CAT-ORD || order: 0|1|2 || num categories: 3 ||	ACE touchscreen question "How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. 
1920	Mood swings	binary	phesant	352604	8590	193622	158982	1920_0|| CAT-SINGLE || Inc(>=10): 0(193622) || Inc(>=10): 1(158982) || CAT-SINGLE-BINARY || sample 193622/158982(352604) ||	ACE touchscreen question "Does your mood often go up and down?" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question 
1970	Nervous feelings	binary	phesant	351829	9365	268709	83120	1970_0|| CAT-SINGLE || Inc(>=10): 0(268709) || Inc(>=10): 1(83120) || CAT-SINGLE-BINARY || sample 268709/83120(351829) ||	ACE touchscreen question "Would you call yourself a nervous person?" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question 
1980	Worrier / anxious feelings	binary	phesant	351833	9361	152370	199463	1980_0|| CAT-SINGLE || Inc(>=10): 0(152370) || Inc(>=10): 1(199463) || CAT-SINGLE-BINARY || sample 152370/199463(351833) ||	ACE touchscreen question "Are you a worrier?" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question 
20002_1123	Non-cancer illness code, self-reported: sleep apnoea	binary	phesant	361141	53	359978	1163	20002_0 || CAT-MUL-BINARY-VAR 1123 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1123 but with missing value (<0) || sample 359978/1163(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1240	Non-cancer illness code, self-reported: neurological injury/trauma	binary	phesant	361141	53	361037	104	20002_0 || CAT-MUL-BINARY-VAR 1240 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1240 but with missing value (<0) || sample 361037/104(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1243	Non-cancer illness code, self-reported: psychological/psychiatric problem	binary	phesant	361141	53	360778	363	20002_0 || CAT-MUL-BINARY-VAR 1243 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1243 but with missing value (<0) || sample 360778/363(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1246	Non-cancer illness code, self-reported: encephalitis	binary	phesant	361141	53	360903	238	20002_0 || CAT-MUL-BINARY-VAR 1246 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1246 but with missing value (<0) || sample 360903/238(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1249	Non-cancer illness code, self-reported: cranial nerve problem/palsy	binary	phesant	361141	53	360909	232	20002_0 || CAT-MUL-BINARY-VAR 1249 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1249 but with missing value (<0) || sample 360909/232(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1250	Non-cancer illness code, self-reported: bell's palsy/facial nerve palsy	binary	phesant	361141	53	360783	358	20002_0 || CAT-MUL-BINARY-VAR 1250 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1250 but with missing value (<0) || sample 360783/358(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1251	Non-cancer illness code, self-reported: spinal cord disorder	binary	phesant	361141	53	360779	362	20002_0 || CAT-MUL-BINARY-VAR 1251 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1251 but with missing value (<0) || sample 360779/362(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1254	Non-cancer illness code, self-reported: peripheral nerve disorder	binary	phesant	361141	53	360935	206	20002_0 || CAT-MUL-BINARY-VAR 1254 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1254 but with missing value (<0) || sample 360935/206(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1255	Non-cancer illness code, self-reported: peripheral neuropathy	binary	phesant	361141	53	360621	520	20002_0 || CAT-MUL-BINARY-VAR 1255 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1255 but with missing value (<0) || sample 360621/520(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1256	Non-cancer illness code, self-reported: acute infective polyneuritis/guillain-barre syndrome	binary	phesant	361141	53	360971	170	20002_0 || CAT-MUL-BINARY-VAR 1256 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1256 but with missing value (<0) || sample 360971/170(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1257	Non-cancer illness code, self-reported: trapped nerve/compressed nerve	binary	phesant	361141	53	360068	1073	20002_0 || CAT-MUL-BINARY-VAR 1257 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1257 but with missing value (<0) || sample 360068/1073(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1258	Non-cancer illness code, self-reported: chronic/degenerative neurological problem	binary	phesant	361141	53	361017	124	20002_0 || CAT-MUL-BINARY-VAR 1258 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1258 but with missing value (<0) || sample 361017/124(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1261	Non-cancer illness code, self-reported: multiple sclerosis	binary	phesant	361141	53	359815	1326	20002_0 || CAT-MUL-BINARY-VAR 1261 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1261 but with missing value (<0) || sample 359815/1326(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1262	Non-cancer illness code, self-reported: parkinsons disease	binary	phesant	361141	53	360489	652	20002_0 || CAT-MUL-BINARY-VAR 1262 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1262 but with missing value (<0) || sample 360489/652(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1264	Non-cancer illness code, self-reported: epilepsy	binary	phesant	361141	53	358126	3015	20002_0 || CAT-MUL-BINARY-VAR 1264 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1264 but with missing value (<0) || sample 358126/3015(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1265	Non-cancer illness code, self-reported: migraine	binary	phesant	361141	53	350494	10647	20002_0 || CAT-MUL-BINARY-VAR 1265 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1265 but with missing value (<0) || sample 350494/10647(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1267	Non-cancer illness code, self-reported: spinal injury	binary	phesant	361141	53	360558	583	20002_0 || CAT-MUL-BINARY-VAR 1267 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1267 but with missing value (<0) || sample 360558/583(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1279	Non-cancer illness code, self-reported: eye trauma	binary	phesant	361141	53	360599	542	20002_0 || CAT-MUL-BINARY-VAR 1279 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1279 but with missing value (<0) || sample 360599/542(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1286	Non-cancer illness code, self-reported: depression	binary	phesant	361141	53	340493	20648	20002_0 || CAT-MUL-BINARY-VAR 1286 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1286 but with missing value (<0) || sample 340493/20648(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1287	Non-cancer illness code, self-reported: anxiety/panic attacks	binary	phesant	361141	53	356180	4961	20002_0 || CAT-MUL-BINARY-VAR 1287 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1287 but with missing value (<0) || sample 356180/4961(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
